,Value,Lower Bound,Upper Bound,Units,Decription,Type
unit_size[BOI],1000.0,0.0,100000.0,kW,Installed capacity of BOI,unique
unit_size[PV],2829.932979096838,0.0,100000.0,kW,Installed capacity of PV,unique
unit_size[BAT],1000.0,0.0,100000.0,kWh,Installed capacity of BAT,unique
unit_size[SOFC],1000.0,0.0,100000.0,kW,Installed capacity of SOFC,unique
unit_size[AD],1000.0,0.0,100000.0,kW,Installed capacity of AD,unique
unit_size[CGT],1000.0,0.0,100000.0,kWh,Installed capacity of CGT,unique
unit_install[BOI],1.0,0.0,1.0,-,BOI decision variable,bool
unit_install[PV],1.0,0.0,1.0,-,PV decision variable,bool
unit_install[BAT],1.0,0.0,1.0,-,BAT decision variable,bool
unit_install[SOFC],1.0,0.0,1.0,-,SOFC decision variable,bool
unit_install[AD],1.0,0.0,1.0,-,AD decision variable,bool
unit_install[CGT],1.0,0.0,1.0,-,CGT decision variable,bool
unit_capex[BOI],195.84,0.0,10000.0,kCHF,Investment cost of BOI,unique
unit_capex[PV],10000.0,0.0,10000.0,kCHF,Investment cost of PV,unique
unit_capex[BAT],1290.9246,0.0,10000.0,kCHF,Investment cost of BAT,unique
unit_capex[SOFC],3807.9756000000007,0.0,10000.0,kCHF,Investment cost of SOFC,unique
unit_capex[AD],2709.0,0.0,10000.0,kCHF,Investment cost of AD,unique
unit_capex[CGT],130.54139999999998,0.0,10000.0,kCHF,Investment cost of CGT,unique
min_T_AD,30.0,-10000.0,10000.0,,,
max_T_AD,40.0,-10000.0,10000.0,,,
penalty_a,0.5812294956330281,0.0,10000.0,MCHF,Sum of Penalty for deviating from the comfort temperature,unique
grid_export_a[Elec],116.7765855864453,0.0,10000.0,,,
grid_export_a[Gas],0.0,0.0,10000.0,,,
grid_import_a[Elec],464.1887139446297,0.0,10000.0,,,
grid_import_a[Gas],1965.8268334622035,0.0,10000.0,,,
unused_a[Biomass],-5.5066933413172604e-09,0.0,10000.0,,,
unused_a[Biogas],1.4007308105425683e-09,0.0,10000.0,,,
unused_a[Gas],0.0,0.0,10000.0,,,
emissions,416.3226886764463,-10000.0,10000.0,t-CO2,Annual total CO2 emissions,unique
capex,18.1342816,-10000.0,10000.0,MCHF,total CAPEX,unique
opex,0.2593293111767718,0.0,10000.0,MCHF/year,total annual opex,unique
totex,1.4225914074791868,0.0,10000.0,MCHF/year,total annualized expenses,unique
